Date,Day of Week,Visits,Year,xmas,cl,Class,days from christmas,springb,springb2,sb,break,holiday,snowfall,snowclass,Snowclass,numsnowclass,weekday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,SeasonDay,class,wkday,wkday2,dec,spred
11/28/2015,Saturday,2394,2,0,3,3,27,0,0,0,0,0,0,None,none,0,0,0,1,0,0,0,0,0,8,high,0,0,0,3
11/29/2015,Sunday,1130,2,0,2,3,26,0,0,0,0,0,0,None,none,0,0,0,0,1,0,0,0,0,9,high,0,0,0,3
11/30/2015,Monday,172,2,0,1,1,25,0,0,0,0,0,0,None,none,0,1,0,0,0,1,0,0,0,10,low,1,0,0,2
12/1/2015,Tuesday,88,2,0,1,1,24,0,0,0,0,0,0,None,none,0,1,0,0,0,0,1,0,0,11,low,1,1,1,2
12/2/2015,Wednesday,194,2,0,1,1,23,0,0,0,0,0,3,Low,low,1,1,0,0,0,0,0,1,0,12,low,1,1,1,2
12/3/2015,Thursday,0,2,0,1,1,22,0,0,0,0,0,3,Low,low,1,1,0,0,0,0,0,0,1,13,low,0,1,1,2
12/4/2015,Friday,567,2,0,1,2,21,0,0,0,0,0,5,MediumLow,medium,2,0,1,0,0,0,0,0,0,14,medium,0,0,1,3
12/5/2015,Saturday,1769,2,0,2,3,20,0,0,0,0,0,1,Low,low,1,0,0,1,0,0,0,0,0,15,high,0,0,1,3
12/6/2015,Sunday,3211,2,0,3,3,19,0,0,0,0,0,17,High,high,5,0,0,0,1,0,0,0,0,16,high,0,0,1,3
12/7/2015,Monday,193,2,0,1,1,18,0,0,0,0,0,6,Medium,medium,3,1,0,0,0,1,0,0,0,17,low,1,0,1,2
12/8/2015,Tuesday,66,2,0,1,1,17,0,0,0,0,0,7,Medium,medium,3,1,0,0,0,0,1,0,0,18,low,1,1,1,2
12/9/2015,Wednesday,101,2,0,1,1,16,0,0,0,0,0,1,Low,low,1,1,0,0,0,0,0,1,0,19,low,1,1,1,2
12/10/2015,Thursday,319,2,0,1,1,15,0,0,0,0,0,5,MediumLow,medium,2,1,0,0,0,0,0,0,1,20,low,0,1,1,2
12/11/2015,Friday,1412,2,0,2,3,14,0,0,0,0,0,7,Medium,medium,3,0,1,0,0,0,0,0,0,21,high,0,0,1,3
12/12/2015,Saturday,3636,2,0,3,3,13,0,0,0,0,0,1,Low,low,1,0,0,1,0,0,0,0,0,22,high,0,0,1,3
12/13/2015,Sunday,5383,2,0,3,3,12,0,0,0,0,0,13,High,high,5,0,0,0,1,0,0,0,0,23,high,0,0,1,3
12/14/2015,Monday,1331,2,0,2,3,11,0,0,0,0,0,5,MediumLow,medium,2,1,0,0,0,1,0,0,0,24,high,1,0,1,2
12/15/2015,Tuesday,931,2,0,1,2,10,0,0,0,0,0,0,None,none,0,1,0,0,0,0,1,0,0,25,medium,1,1,1,2
12/16/2015,Wednesday,880,2,0,1,2,9,0,0,0,0,0,3,Low,low,1,1,0,0,0,0,0,1,0,26,medium,1,1,1,2
12/17/2015,Thursday,1335,2,0,2,3,8,0,0,0,0,0,7,Medium,medium,3,1,0,0,0,0,0,0,1,27,high,0,1,1,2
12/18/2015,Friday,3019,2,0,3,3,7,0,0,0,0,0,17,High,high,5,0,1,0,0,0,0,0,0,28,high,0,0,1,3
